station area Latitude Longitude city
延平涼州街口 大同區 25.06092 121.51126 台北市
大同行政中心 大同區 25.06603 121.51481 台北市
劍潭抽水站 士林區 25.08128 121.51784 台北市
通河東街大南路口 士林區 25.08914 121.51542 台北市
福港街停車場 士林區 25.08695 121.51901 台北市
百齡國小 士林區 25.08521 121.51918 台北市
雨聲街165巷口 士林區 25.10277 121.53357 台北市
天和公園 士林區 25.12001 121.53342 台北市
中山天母路口 士林區 25.11856 121.52964 台北市
天母運動公園 士林區 25.11633 121.53414 台北市
臺北市立大學(天母校區) 士林區 25.11356 121.53718 台北市
忠誠路二段53巷 士林區 25.11127 121.53244 台北市
天母棒球場 士林區 25.11341 121.53195 台北市
天母北天玉街口 士林區 25.12011 121.52652 台北市
蘭興公園 士林區 25.11184 121.52589 台北市
明勝公園 士林區 25.08009 121.51895 台北市
劍潭海外青年活動中心 士林區 25.07994 121.52426 台北市
忠誠路一段173巷口 士林區 25.10813 121.5304 台北市
雨農國小 士林區 25.1054 121.5295 台北市
忠誠公園 士林區 25.10399 121.52593 台北市
芝山抽水站 士林區 25.10155 121.52832 台北市
至誠路一段305巷口 士林區 25.10186 121.53083 台北市
華齡公園 士林區 25.08302 121.52069 台北市
前港公園(福德宮) 士林區 25.08671 121.52096 台北市
華齡街185巷口 士林區 25.08828 121.51985 台北市
前港公園(前港街) 士林區 25.0848 121.52125 台北市
百齡高中 士林區 25.08736 121.52272 台北市
捷運芝山站(2號出口) 士林區 25.10364 121.52219 台北市
臺灣戲曲中心 士林區 25.10208 121.51979 台北市
捷運劍潭站(2號出口) 士林區 25.08288 121.52455 台北市
劍潭基河路口 士林區 25.08403 121.5249 台北市
志成公園 士林區 25.09667 121.53206 台北市
福林國小 士林區 25.09896 121.53025 台北市
中山中正路口 士林區 25.09651 121.52753 台北市
士林運動中心 士林區 25.08911 121.52154 台北市
陽明高中 士林區 25.09164 121.51706 台北市
兒童新樂園 士林區 25.09631 121.51449 台北市
臺北市立天文館 士林區 25.09598 121.51776 台北市
華聲公園 士林區 25.09619 121.5223 台北市
福林公園 士林區 25.09419 121.52833 台北市
捷運士林站(2號出口) 士林區 25.09343 121.52642 台北市
銘傳大學 士林區 25.08771 121.52677 台北市
士林高商 士林區 25.09435 121.51702 台北市
蘭雅公園 士林區 25.10991 121.53039 台北市
聯合醫院陽明院區 士林區 25.10455 121.53195 台北市
